iter	Passed	Remaining
0	140	140342
1	142	71233
2	145	48306
3	147	36816
4	150	29945
5	152	25335
6	155	22048
7	157	19573
8	160	17655
9	162	16111
10	165	14868
11	167	13822
12	170	12934
13	172	12176
14	175	11520
15	177	10930
16	180	10441
17	182	9979
18	185	9574
19	187	9187
20	189	8825
21	191	8496
22	192	8197
23	194	7910
24	196	7645
25	197	7401
26	199	7172
27	200	6952
28	201	6744
29	202	6551
30	203	6372
31	205	6204
32	206	6041
33	207	5888
34	208	5744
35	209	5608
36	210	5479
37	211	5364
38	213	5251
39	214	5147
40	215	5043
41	216	4944
42	217	4849
43	218	4757
44	220	4672
45	221	4588
46	222	4510
47	223	4435
48	224	4364
49	226	4294
50	227	4227
51	228	4165
52	229	4103
53	230	4042
54	231	3985
55	233	3928
56	234	3873
57	235	3819
58	236	3773
59	238	3739
60	241	3725
61	246	3727
62	247	3685
63	248	3637
64	249	3591
65	250	3547
66	251	3503
67	252	3455
68	253	3414
69	254	3374
70	255	3339
71	256	3307
72	257	3270
73	259	3247
74	261	3220
75	262	3188
76	263	3155
77	264	3122
78	265	3095
79	266	3067
80	267	3036
81	268	3007
82	269	2978
83	270	2949
84	271	2918
85	272	2891
86	273	2868
87	275	2855
88	276	2832
89	277	2807
90	278	2783
91	279	2759
92	280	2735
93	281	2712
94	282	2689
95	283	2667
96	284	2646
97	285	2629
98	286	2609
99	287	2591
100	289	2577
101	290	2554
102	291	2535
103	292	2516
104	293	2497
105	293	2479
106	294	2461
107	295	2443
108	296	2425
109	297	2408
110	298	2392
111	300	2378
112	300	2362
113	301	2346
114	303	2335
115	304	2319
116	305	2304
117	306	2289
118	307	2273
119	308	2258
120	308	2244
121	309	2230
122	310	2213
123	311	2199
124	312	2186
125	313	2175
126	314	2162
127	315	2147
128	316	2140
129	318	2131
130	319	2120
131	320	2108
132	321	2096
133	322	2084
134	323	2072
135	324	2061
136	325	2049
137	326	2037
138	327	2026
139	328	2016
140	329	2007
141	330	1997
142	332	1991
143	333	1984
144	334	1974
145	335	1964
146	336	1954
147	337	1944
148	338	1934
149	339	1924
150	340	1914
151	341	1905
152	342	1895
153	343	1887
154	344	1879
155	346	1875
156	347	1867
157	348	1859
158	349	1850
159	350	1841
160	351	1832
161	352	1823
162	353	1815
163	354	1806
164	355	1798
165	356	1790
166	357	1784
167	358	1776
168	359	1769
169	361	1766
170	362	1759
171	364	1752
172	365	1745
173	366	1738
174	367	1731
175	368	1725
176	369	1717
177	370	1710
178	371	1704
179	372	1698
180	373	1689
181	374	1681
182	377	1683
183	378	1678
184	379	1671
185	380	1664
186	381	1657
187	382	1650
188	383	1643
189	383	1637
190	384	1630
191	385	1624
192	386	1617
193	388	1612
194	389	1606
195	390	1602
196	393	1604
197	395	1602
198	397	1600
199	398	1595
200	400	1590
201	401	1584
202	402	1579
203	403	1574
204	404	1568
205	406	1566
206	408	1563
207	409	1558
208	410	1552
209	411	1546
210	412	1540
211	413	1535
212	413	1529
213	414	1524
214	415	1518
215	416	1512
216	417	1507
217	419	1503
218	420	1501
219	422	1497
220	423	1492
221	424	1486
222	425	1481
223	426	1476
224	427	1471
225	428	1465
226	428	1460
227	429	1455
228	430	1450
229	431	1445
230	433	1441
231	433	1436
232	435	1434
233	437	1431
234	438	1426
235	439	1421
236	440	1416
237	441	1412
238	442	1407
239	442	1402
240	443	1397
241	444	1393
242	445	1388
243	446	1384
244	448	1381
245	449	1376
246	450	1374
247	452	1371
248	453	1367
249	454	1362
250	455	1358
251	456	1353
252	456	1349
253	457	1344
254	458	1340
255	459	1335
256	460	1331
257	461	1328
258	463	1324
259	463	1320
260	468	1325
261	469	1321
262	470	1317
263	471	1313
264	472	1309
265	473	1305
266	474	1301
267	475	1297
268	475	1293
269	476	1289
270	478	1286
271	479	1283
272	480	1280
273	482	1278
274	483	1274
275	484	1271
276	485	1267
277	486	1263
278	487	1260
279	488	1257
280	489	1253
281	490	1249
282	491	1246
283	493	1243
284	494	1240
285	495	1237
286	496	1234
287	497	1230
288	499	1227
289	500	1224
290	502	1223
291	503	1221
292	505	1219
293	506	1215
294	507	1212
295	508	1208
296	509	1205
297	510	1202
298	511	1199
299	512	1195
300	513	1192
301	514	1188
302	515	1186
303	516	1183
304	517	1179
305	518	1176
306	519	1172
307	520	1169
308	521	1166
309	522	1162
310	523	1159
311	525	1157
312	526	1154
313	527	1151
314	527	1148
315	529	1145
316	530	1142
317	530	1138
318	531	1135
319	532	1132
320	533	1129
321	534	1125
322	535	1122
323	536	1119
324	537	1116
325	538	1113
326	539	1110
327	540	1107
328	541	1104
329	542	1101
330	543	1098
331	544	1095
332	545	1092
333	546	1089
334	547	1086
335	548	1083
336	549	1080
337	550	1077
338	551	1074
339	552	1071
340	553	1069
341	554	1066
342	555	1063
343	556	1060
344	557	1057
345	558	1055
346	559	1052
347	560	1049
348	561	1046
349	561	1043
350	562	1040
351	563	1037
352	564	1034
353	565	1032
354	566	1029
355	567	1026
356	568	1024
357	569	1021
358	570	1018
359	571	1016
360	572	1013
361	573	1010
362	574	1007
363	575	1005
364	576	1002
365	577	999
366	578	997
367	579	994
368	580	991
369	581	989
370	582	987
371	583	984
372	584	982
373	585	979
374	586	977
375	587	974
376	588	972
377	589	969
378	590	966
379	590	964
380	591	961
381	592	958
382	593	956
383	594	953
384	595	951
385	596	949
386	598	947
387	599	945
388	600	943
389	601	940
390	602	938
391	603	936
392	604	934
393	605	931
394	606	929
395	607	926
396	608	924
397	609	921
398	610	919
399	611	916
400	612	914
401	613	912
402	614	909
403	615	907
404	615	904
405	616	902
406	617	900
407	618	897
408	619	895
409	620	893
410	621	890
411	622	888
412	623	886
413	624	883
414	625	881
415	626	879
416	627	877
417	628	874
418	629	872
419	630	870
420	631	868
421	632	865
422	633	863
423	634	861
424	634	859
425	635	856
426	636	854
427	637	852
428	638	850
429	639	848
430	640	845
431	641	843
432	642	841
433	643	839
434	644	836
435	645	834
436	646	832
437	647	830
438	648	828
439	649	826
440	649	823
441	651	821
442	652	819
443	652	817
444	653	815
445	654	813
446	655	811
447	656	809
448	657	807
449	658	805
450	659	803
451	660	801
452	661	799
453	662	797
454	663	794
455	664	793
456	665	791
457	666	788
458	667	786
459	668	784
460	669	782
461	670	780
462	671	778
463	672	776
464	673	774
465	674	772
466	675	770
467	676	768
468	676	766
469	677	764
470	678	762
471	679	760
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	746
479	687	744
480	688	742
481	689	740
482	690	738
483	691	736
484	691	734
485	693	733
486	694	731
487	695	729
488	696	727
489	696	725
490	697	723
491	698	721
492	699	719
493	700	717
494	701	715
495	702	713
496	703	711
497	704	710
498	705	708
499	706	706
500	707	704
501	708	702
502	709	701
503	710	699
504	711	697
505	712	695
506	713	693
507	714	691
508	715	689
509	716	687
510	717	686
511	717	684
512	718	682
513	719	680
514	721	679
515	722	677
516	723	675
517	724	673
518	725	672
519	726	670
520	727	668
521	728	666
522	729	665
523	730	663
524	731	661
525	732	660
526	733	658
527	734	656
528	735	655
529	736	653
530	737	651
531	738	649
532	739	648
533	740	646
534	741	644
535	742	642
536	743	640
537	744	639
538	745	637
539	746	635
540	747	633
541	748	632
542	749	630
543	749	628
544	750	626
545	751	625
546	752	623
547	753	621
548	754	619
549	755	618
550	756	616
551	757	614
552	758	612
553	759	611
554	760	609
555	761	607
556	762	606
557	763	604
558	764	603
559	765	601
560	766	599
561	767	598
562	768	596
563	769	594
564	770	592
565	771	591
566	772	589
567	772	587
568	773	586
569	774	584
570	775	582
571	776	581
572	777	579
573	778	577
574	779	576
575	780	574
576	781	572
577	782	571
578	783	569
579	784	567
580	785	566
581	786	564
582	787	562
583	787	561
584	788	559
585	790	558
586	791	556
587	792	555
588	793	553
589	794	551
590	795	550
591	796	548
592	796	547
593	797	545
594	798	543
595	799	542
596	800	540
597	801	538
598	802	537
599	803	535
600	804	534
601	805	532
602	806	531
603	807	529
604	808	527
605	809	526
606	810	524
607	811	523
608	812	521
609	813	519
610	814	518
611	815	516
612	815	515
613	816	513
614	817	512
615	818	510
616	819	508
617	820	507
618	821	505
619	822	504
620	823	502
621	824	501
622	825	499
623	826	498
624	827	496
625	828	495
626	829	493
627	830	491
628	831	490
629	832	488
630	833	487
631	834	485
632	835	484
633	836	482
634	837	481
635	838	479
636	839	478
637	840	476
638	841	475
639	842	473
640	842	472
641	843	470
642	844	469
643	845	467
644	846	466
645	847	464
646	848	463
647	849	461
648	850	460
649	852	458
650	853	457
651	854	456
652	855	454
653	856	453
654	857	451
655	858	450
656	860	449
657	861	447
658	862	446
659	863	444
660	864	443
661	865	442
662	867	440
663	868	439
664	869	437
665	870	436
666	871	435
667	872	433
668	873	432
669	874	430
670	875	429
671	877	428
672	878	426
673	879	425
674	880	424
675	881	422
676	883	421
677	884	419
678	885	418
679	886	417
680	887	415
681	888	414
682	889	412
683	890	411
684	891	410
685	893	408
686	894	407
687	895	405
688	896	404
689	897	403
690	898	401
691	899	400
692	900	398
693	901	397
694	902	396
695	903	394
696	904	393
697	905	391
698	906	390
699	907	388
700	908	387
701	909	386
702	910	384
703	911	383
704	912	381
705	912	380
706	913	378
707	914	377
708	915	375
709	916	374
710	917	372
711	918	371
712	919	370
713	920	368
714	921	367
715	922	365
716	923	364
717	924	363
718	925	361
719	926	360
720	927	358
721	928	357
722	929	356
723	930	354
724	931	353
725	932	351
726	933	350
727	934	348
728	934	347
729	935	346
730	936	344
731	937	343
732	938	341
733	939	340
734	940	339
735	941	337
736	942	336
737	943	334
738	944	333
739	945	332
740	946	330
741	947	329
742	948	327
743	949	326
744	950	325
745	951	323
746	951	322
747	952	321
748	953	319
749	954	318
750	955	316
751	956	315
752	957	314
753	958	312
754	959	311
755	960	310
756	961	308
757	962	307
758	963	305
759	964	304
760	965	303
761	966	301
762	967	300
763	968	299
764	969	297
765	970	296
766	971	295
767	972	293
768	972	292
769	973	290
770	974	289
771	975	288
772	976	286
773	977	285
774	978	284
775	979	282
776	980	281
777	981	280
778	982	278
779	983	277
780	984	276
781	985	274
782	986	273
783	987	271
784	988	270
785	989	269
786	990	267
787	991	266
788	992	265
789	993	263
790	994	262
791	994	261
792	995	259
793	996	258
794	997	257
795	998	255
796	999	254
797	1000	253
798	1001	251
799	1002	250
800	1003	249
801	1004	248
802	1005	246
803	1006	245
804	1007	244
805	1008	242
806	1009	241
807	1010	240
808	1011	238
809	1012	237
810	1013	236
811	1014	234
812	1015	233
813	1016	232
814	1017	230
815	1018	229
816	1019	228
817	1019	226
818	1020	225
819	1021	224
820	1022	223
821	1023	221
822	1024	220
823	1025	219
824	1026	217
825	1027	216
826	1028	215
827	1029	213
828	1031	212
829	1032	211
830	1032	210
831	1033	208
832	1034	207
833	1035	206
834	1036	204
835	1037	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1044	194
843	1045	193
844	1046	191
845	1047	190
846	1048	189
847	1049	188
848	1050	186
849	1051	185
850	1052	184
851	1053	182
852	1053	181
853	1054	180
854	1055	179
855	1056	177
856	1057	176
857	1058	175
858	1059	173
859	1060	172
860	1061	171
861	1062	170
862	1063	168
863	1064	167
864	1065	166
865	1066	165
866	1067	163
867	1068	162
868	1069	161
869	1070	159
870	1071	158
871	1072	157
872	1073	156
873	1074	154
874	1075	153
875	1076	152
876	1077	151
877	1078	149
878	1078	148
879	1079	147
880	1080	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1086	138
887	1087	137
888	1088	135
889	1089	134
890	1090	133
891	1091	132
892	1092	130
893	1093	129
894	1094	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1101	119
902	1102	118
903	1103	117
904	1104	115
905	1105	114
906	1106	113
907	1107	112
908	1108	110
909	1109	109
910	1110	108
911	1111	107
912	1112	106
913	1113	104
914	1114	103
915	1115	102
916	1116	101
917	1117	99
918	1118	98
919	1119	97
920	1120	96
921	1121	94
922	1122	93
923	1123	92
924	1124	91
925	1125	89
926	1126	88
927	1127	87
928	1128	86
929	1129	85
930	1130	83
931	1131	82
932	1132	81
933	1133	80
934	1134	78
935	1135	77
936	1136	76
937	1136	75
938	1137	73
939	1138	72
940	1139	71
941	1140	70
942	1141	69
943	1142	67
944	1143	66
945	1144	65
946	1145	64
947	1146	62
948	1147	61
949	1148	60
950	1149	59
951	1150	58
952	1151	56
953	1152	55
954	1153	54
955	1154	53
956	1155	51
957	1156	50
958	1157	49
959	1158	48
960	1159	47
961	1160	45
962	1161	44
963	1162	43
964	1163	42
965	1164	40
966	1165	39
967	1166	38
968	1167	37
969	1168	36
970	1169	34
971	1170	33
972	1171	32
973	1172	31
974	1173	30
975	1174	28
976	1175	27
977	1176	26
978	1177	25
979	1178	24
980	1179	22
981	1180	21
982	1181	20
983	1182	19
984	1183	18
985	1184	16
986	1185	15
987	1186	14
988	1187	13
989	1188	12
990	1189	10
991	1190	9
992	1191	8
993	1192	7
994	1193	5
995	1193	4
996	1195	3
997	1196	2
998	1197	1
999	1197	0
